time,value
4.139372,5.794348
4.139372,5.823581
4.164054,5.800069
4.164054,5.828822
4.164054,5.828437
4.164054,5.766797
4.166047,5.775163
4.166047,5.679963
4.166047,5.674337
4.223917,5.633036
4.223917,5.480715
4.223917,5.538893
4.223917,5.432874
4.247329,5.407151
4.247329,5.399602
4.248405,5.310171
4.248405,5.380802
4.248405,5.323730
4.248405,5.365513
4.248405,5.405564
4.308937,5.333250
4.308937,5.460857
4.308937,5.393448
4.308937,5.445808
4.308937,5.461338
4.377020,5.390948
4.377020,5.412632
4.377020,5.457924
4.377020,5.401958
4.379019,5.459175
4.379019,5.397535
4.379019,5.448020
4.379019,5.482975
4.379019,5.478167
4.379019,5.690204
4.379019,5.689723
4.436038,5.673280
4.436038,5.580916
4.436038,5.421046
4.436038,5.444125
4.436038,5.323346
4.464347,5.342338
4.464347,5.353637
4.464347,5.322143
4.464347,5.400612
4.464347,5.312527
4.464347,5.317335
4.523044,5.331904
4.523044,4.976489
4.523044,5.144628
4.542464,6.882615
4.542464,8.406930
4.542464,7.064458
4.542464,5.543124
4.543459,5.270697
4.543459,5.422873
4.543459,5.425854
4.587606,5.544951
4.587606,5.438644
4.587606,5.446770
4.587606,5.507833
4.590377,5.475186
4.590377,5.563799
4.639332,5.514131
4.639332,5.560337
4.639332,5.588513
4.639332,5.538893
4.639332,5.629430
4.639332,5.625247
4.639332,5.615102
4.683503,5.707081
4.683503,5.650393
4.685541,5.719486
4.685541,5.743911
4.685541,5.718668
4.731622,5.817859
4.731622,5.736266
4.733148,5.747469
4.733148,5.748959
4.733148,5.689098
4.758959,5.731890
4.758959,5.636930
4.778646,5.624670
4.778646,5.580339
4.778646,5.506198
4.778646,5.533460
4.778646,5.439029
4.818584,5.437875
4.818584,5.405468
4.818584,5.369407
4.818584,5.408161
4.818584,5.418546
4.818584,5.386861
4.878687,5.466964
4.878687,5.400564
4.878687,5.469608
4.878687,5.498457
4.878687,5.459271
4.879084,5.533364
4.879084,5.468214
4.879084,5.520286
4.957254,5.526777
4.957254,5.468262
4.958309,5.542595
4.958309,5.441865
4.958309,5.481532
4.958309,5.479465
4.958309,5.419844
4.958309,5.505525
4.958309,5.457973
5.005682,5.484369
5.005682,5.601110
5.005682,5.631690
5.006678,5.740593
5.006678,5.744151
5.040129,5.583224
5.040129,5.564568
5.068091,5.426095
5.068091,5.424941
5.069599,5.412776
5.069599,5.371379
5.069599,5.452924
5.069599,5.368542
5.069599,5.424364
5.129646,5.410036
5.129646,5.222471
5.157749,5.049331
5.157749,5.421719
5.157749,7.631478
5.157749,9.012992
5.157749,6.983441
5.157749,5.999221
5.157749,5.233674
5.159748,5.376619
5.159748,5.550721
5.159748,5.525430
5.207018,5.534998
5.207018,5.510958
5.207018,5.487206
5.207018,5.574473
5.208020,5.515141
5.254708,5.569665
5.254708,5.579281
5.254708,5.560818
5.254708,5.646931
5.255875,5.585724
5.255875,5.652557
5.292615,5.659528
5.292615,5.669289
5.292615,5.751988
5.292615,5.685348
5.292615,5.739583
5.334452,5.767134
5.334452,5.668135
5.334452,5.717707
5.334452,5.672558
